שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),טמפרטורת מינימום ליד הקרקע(C°),משך זהירת שמש(דקות),התאדות יומית מגיגית סוג א'(מ"מ),קוד התאדות יומית()
בית דגן מאוישת                                    ,2520,21-12-2020,-,-,-,-,1.4,0
בית דגן מאוישת                                    ,2520,22-12-2020,-,-,-,-,1.4,0
בית דגן מאוישת                                    ,2520,23-12-2020,-,-,-,-,2.0,0
בית דגן מאוישת                                    ,2520,24-12-2020,-,-,-,-,0.9,0
בית דגן מאוישת                                    ,2520,25-12-2020,-,-,-,-,1.8,0
בית דגן מאוישת                                    ,2520,26-12-2020,-,-,-,-,4.8,0
בית דגן מאוישת                                    ,2520,27-12-2020,-,-,-,-,3.1,0
בית דגן מאוישת                                    ,2520,28-12-2020,-,-,-,-,3.0,0
בית דגן מאוישת                                    ,2520,29-12-2020,-,-,-,-,1.8,0
בית דגן מאוישת                                    ,2520,30-12-2020,-,-,-,-,2.4,0
בית דגן מאוישת                                    ,2520,31-12-2020,-,-,-,-,1.7,0
בית דגן מאוישת                                    ,2520,01-01-2021,-,-,-,-,1.5,0
בית דגן מאוישת                                    ,2520,02-01-2021,-,-,-,-,1.3,0
בית דגן מאוישת                                    ,2520,03-01-2021,-,-,-,-,1.0,0
בית דגן מאוישת                                    ,2520,04-01-2021,-,-,-,-,1.6,0
בית דגן מאוישת                                    ,2520,05-01-2021,-,-,-,-,1.2,0
בית דגן מאוישת                                    ,2520,06-01-2021,-,-,-,-,3.1,0
בית דגן מאוישת                                    ,2520,07-01-2021,-,-,-,-,2.3,0
בית דגן מאוישת                                    ,2520,08-01-2021,-,-,-,-,3.6,0
בית דגן מאוישת                                    ,2520,09-01-2021,-,-,-,-,2.1,0
בית דגן מאוישת                                    ,2520,10-01-2021,-,-,-,-,2.0,0
בית דגן מאוישת                                    ,2520,11-01-2021,-,-,-,-,2.5,0
בית דגן מאוישת                                    ,2520,12-01-2021,-,-,-,-,2.3,0
בית דגן מאוישת                                    ,2520,13-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,14-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,15-01-2021,-,-,-,-,1.0,0
בית דגן מאוישת                                    ,2520,16-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,17-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,18-01-2021,-,-,-,-,1.0,0
בית דגן מאוישת                                    ,2520,19-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,20-01-2021,-,-,-,-,2.3,0
בית דגן מאוישת                                    ,2520,21-01-2021,-,-,-,-,2.2,0
בית דגן מאוישת                                    ,2520,22-01-2021,-,-,-,-,2.6,0
בית דגן מאוישת                                    ,2520,23-01-2021,-,-,-,-,2.7,0
בית דגן מאוישת                                    ,2520,24-01-2021,-,-,-,-,1.8,0
בית דגן מאוישת                                    ,2520,25-01-2021,-,-,-,-,1.4,0
בית דגן מאוישת                                    ,2520,26-01-2021,-,-,-,-,2.8,0
בית דגן מאוישת                                    ,2520,27-01-2021,-,-,-,-,2.5,0
בית דגן מאוישת                                    ,2520,28-01-2021,-,-,-,-,1.2,0
בית דגן מאוישת                                    ,2520,29-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,30-01-2021,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,31-01-2021,-,-,-,-,2.6,0
