שם תחנה,מספר תחנה,תאריך,שעה-LST,טמפרטורה(C°),טמפרטורה לחה(C°),טמפרטורת נקודת הטל(C°),לחות יחסית(%),מהירות הרוח(m/s),כיוון הרוח(מעלות),לחץ בגובה התחנה(hPa),לחץ בגובה פני הים(hPa),כמות עננים כוללת(קוד),כמות עננים נמוכים(קוד),גובה בסיס עננים נמוכים(קוד),סוג העננים הנמוכים(קוד),סוג העננים הבינוניים(קוד),סוג העננים הגבוהים(קוד),מזג אוויר נוכחי(קוד),מזג אוויר שחלף(קוד),ראות אפקית(קוד)
בית דגן                                           ,2523,05-03-2020,08:00,15.7,12.9,10.4,71,0.9,65,1007.5,1011.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-03-2020,11:00,27.0,16.3,6.7,28,2.4,203,1006.9,1010.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-03-2020,14:00,28.1,16.1,4.1,22,5.4,274,1005.8,1009.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-03-2020,17:00,23.6,13.0,0.4,22,2.2,314,1006.2,1009.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-03-2020,20:00,18.1,14.7,11.9,67,1.1,11,1007.8,1011.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-03-2020,23:00,14.2,12.1,10.0,76,2.1,132,1007.2,1010.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,02:00,13.2,11.5,9.8,80,2.1,121,1005.0,1008.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,05:00,12.8,10.8,8.9,77,2.1,97,1001.5,1005.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,08:00,15.8,14.6,13.6,87,5.1,324,1006.2,1009.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,11:00,18.4,15.0,12.4,68,5.0,349,1005.6,1009.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,14:00,16.9,14.1,11.8,72,4.5,327,1006.7,1010.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,17:00,14.2,13.2,12.4,89,3.0,295,1008.9,1012.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,20:00,15.5,13.7,12.2,81,3.9,274,1011.0,1014.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-03-2020,23:00,12.7,12.2,11.8,94,2.0,150,1012.1,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,02:00,10.8,10.6,10.5,98,0.6,349,1012.1,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,05:00,13.1,12.3,11.7,91,2.3,293,1012.5,1016.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,08:00,14.8,13.5,12.5,86,0.9,168,1014.5,1018.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,11:00,18.1,14.9,12.3,69,4.2,322,1015.8,1019.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,14:00,19.1,14.9,11.4,61,3.8,308,1015.4,1019.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,17:00,17.5,14.4,11.7,69,3.1,332,1015.8,1019.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,20:00,15.5,13.5,11.7,78,1.4,346,1017.2,1020.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-03-2020,23:00,12.0,11.4,10.7,92,0.9,86,1018.0,1021.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,02:00,10.1,9.8,9.5,96,1.2,108,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,05:00,8.9,8.8,8.8,99,1.1,168,1017.1,1020.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,08:00,14.3,13.1,12.0,86,0.8,60,1017.1,1020.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,11:00,22.3,16.3,11.6,51,1.7,99,1016.3,1019.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,14:00,23.4,17.7,13.5,54,4.6,322,1013.8,1017.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,17:00,21.9,17.1,13.5,59,3.8,345,1013.3,1016.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,20:00,18.2,16.1,14.5,79,2.4,39,1013.1,1016.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-03-2020,23:00,14.3,13.1,12.2,87,0.6,88,1012.3,1016.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,02:00,12.2,11.7,11.1,93,0.4,98,1010.2,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,05:00,11.5,10.8,10.1,91,1.8,222,1009.5,1013.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,08:00,19.0,15.5,12.7,67,1.1,120,1010.0,1013.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,11:00,27.3,16.9,8.0,30,3.0,138,1008.6,1012.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,14:00,28.8,16.8,6.0,24,4.2,173,1006.2,1009.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,17:00,28.0,17.2,8.1,29,2.4,159,1005.9,1009.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,20:00,19.7,14.5,10.1,54,1.6,84,1006.9,1010.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-03-2020,23:00,16.6,13.1,10.0,65,2.0,123,1007.6,1011.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,02:00,17.1,15.6,14.4,84,1.2,221,1011.6,1015.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,05:00,13.8,13.2,12.7,93,1.4,234,1012.2,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,08:00,16.7,14.9,13.4,81,2.3,319,1013.4,1017.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,11:00,19.4,15.9,13.1,67,2.7,334,1013.4,1017.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,14:00,19.6,15.7,12.6,64,4.8,341,1012.2,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,17:00,17.6,14.2,11.4,67,3.9,358,1012.0,1015.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,20:00,16.3,13.9,11.9,75,1.9,360,1012.5,1016.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-03-2020,23:00,14.7,13.3,12.0,84,1.7,51,1012.8,1016.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,02:00,12.6,11.9,11.2,91,1.0,120,1011.8,1015.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,05:00,10.8,10.5,10.2,96,0.5,117,1010.6,1014.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,08:00,14.7,13.4,12.2,85,1.6,47,1010.9,1014.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,11:00,20.8,16.1,12.5,59,2.2,327,1010.4,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,14:00,22.1,17.4,13.9,60,3.9,330,1007.1,1010.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,17:00,19.6,16.4,14.0,70,2.8,345,1006.3,1009.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,20:00,19.4,16.7,14.8,75,1.7,316,1004.9,1008.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-03-2020,23:00,17.3,16.0,14.9,86,2.0,282,1004.5,1008.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,02:00,16.6,15.7,15.0,90,1.6,101,1003.3,1007.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,05:00,16.9,15.5,14.4,85,2.2,261,1001.7,1005.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,08:00,19.1,17.5,16.3,84,2.3,143,1002.8,1006.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,11:00,24.5,20.0,17.2,64,4.0,260,1001.3,1004.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,14:00,24.1,19.4,16.3,62,2.6,176,999.6,1003.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,17:00,23.1,17.6,13.5,55,9.8,110,996.0,999.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,20:00,24.8,16.5,9.8,39,10.1,125,992.5,996.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-03-2020,23:00,22.5,17.4,13.8,58,6.2,215,994.4,998.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,02:00,15.6,15.4,15.3,98,3.1,159,996.7,1000.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,05:00,14.4,14.2,13.9,97,2.8,165,995.0,998.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,08:00,15.5,14.0,12.8,84,0.9,104,996.4,1000.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,11:00,16.3,14.4,12.8,80,3.0,146,996.6,1000.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,14:00,16.2,14.5,13.1,82,2.5,185,995.9,999.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,17:00,14.3,13.6,13.0,92,6.4,165,995.4,999.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,20:00,14.3,13.8,13.3,94,8.8,173,995.7,999.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-03-2020,23:00,13.8,13.7,13.7,99,9.6,185,995.5,999.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,02:00,15.0,14.4,13.9,93,5.8,286,998.4,1002.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,05:00,15.5,14.4,13.5,88,3.0,321,1002.7,1006.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,08:00,16.7,15.7,14.9,89,2.8,276,1005.8,1009.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,11:00,18.8,16.3,14.5,76,6.0,283,1007.7,1011.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,14:00,17.6,16.3,15.4,87,5.6,281,1008.5,1012.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,17:00,17.5,16.4,15.5,88,3.1,283,1009.9,1013.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,20:00,15.7,15.2,14.9,95,1.0,239,1011.8,1015.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-03-2020,23:00,14.1,14.0,14.0,99,1.3,171,1012.7,1016.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,02:00,13.9,13.8,13.8,99,1.8,155,1012.7,1016.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,05:00,13.0,12.9,12.9,99,1.7,177,1012.8,1016.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,08:00,15.4,14.5,13.8,90,2.2,179,1013.8,1017.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,11:00,20.2,16.3,13.4,65,0.7,150,1012.9,1016.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,14:00,21.5,17.3,14.4,64,3.8,283,1011.4,1015.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,17:00,19.9,16.5,14.0,69,2.1,325,1011.4,1015.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,20:00,17.2,16.1,15.2,88,1.5,345,1012.5,1016.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-03-2020,23:00,14.8,14.4,14.0,95,1.1,131,1011.7,1015.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,02:00,13.2,13.0,12.9,98,0.9,131,1010.7,1014.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,05:00,11.6,11.4,11.1,97,1.6,118,1010.5,1014.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,08:00,17.6,15.7,14.3,81,0.5,115,1011.4,1015.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,11:00,22.8,18.0,14.6,60,2.8,289,1010.9,1014.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,14:00,22.5,18.4,15.6,65,2.9,304,1009.7,1013.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,17:00,21.7,17.2,13.8,61,1.8,305,1009.6,1013.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,20:00,16.9,15.6,14.5,86,0.9,279,1010.0,1013.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-03-2020,23:00,15.6,15.0,14.5,93,0.0,0,1010.2,1013.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,02:00,15.6,14.5,13.6,88,2.1,303,1009.7,1013.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,05:00,14.2,13.3,12.6,90,1.5,238,1008.8,1012.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,08:00,16.1,14.5,13.2,83,2.7,202,1008.9,1012.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,11:00,19.0,15.1,11.8,63,7.3,249,1007.7,1011.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,14:00,13.6,13.3,13.0,96,4.6,251,1006.8,1010.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,17:00,15.1,12.6,10.3,73,8.4,255,1006.0,1009.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,20:00,12.5,11.4,10.4,87,5.1,243,1006.0,1009.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-03-2020,23:00,13.8,11.5,9.2,74,7.1,260,1006.3,1010.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,02:00,13.7,11.9,10.3,80,2.4,288,1006.4,1010.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,05:00,12.6,11.5,10.3,86,4.3,290,1007.5,1011.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,08:00,14.0,10.1,5.6,57,6.2,270,1009.1,1012.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,11:00,14.4,10.2,5.4,55,6.8,268,1009.6,1013.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,14:00,17.1,11.9,6.5,50,5.5,262,1009.3,1013.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,17:00,15.7,11.6,7.4,58,7.3,250,1009.7,1013.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,20:00,14.8,11.8,8.9,68,4.3,249,1011.0,1014.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-03-2020,23:00,15.3,11.8,8.3,63,6.1,253,1010.7,1014.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,02:00,14.6,11.6,8.5,67,5.3,252,1010.1,1013.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,05:00,12.3,10.9,9.5,83,3.8,189,1010.2,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,08:00,13.4,12.0,10.7,84,3.6,203,1011.1,1014.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,11:00,16.6,13.0,9.7,64,10.2,236,1010.8,1014.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,14:00,13.5,12.2,11.0,85,8.1,234,1010.2,1013.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,17:00,14.8,10.5,5.8,55,6.3,271,1010.0,1013.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,20:00,12.7,9.7,6.3,65,6.1,266,1011.0,1014.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-03-2020,23:00,11.0,9.6,8.2,83,3.5,227,1011.0,1014.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,02:00,11.2,9.6,8.1,81,2.0,284,1009.9,1013.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,05:00,11.7,9.2,6.4,70,2.7,210,1009.5,1013.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,08:00,10.7,9.4,8.1,84,5.1,188,1010.2,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,11:00,11.6,9.8,8.1,79,5.8,207,1010.0,1013.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,14:00,11.9,10.5,9.1,83,8.2,258,1008.9,1012.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,17:00,10.4,9.2,8.0,85,3.9,283,1008.3,1012.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,20:00,10.4,9.9,9.5,94,3.9,285,1008.2,1012.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-03-2020,23:00,9.2,9.1,8.9,98,2.0,198,1007.7,1011.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,02:00,9.1,8.9,8.6,97,0.9,86,1007.6,1011.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,05:00,7.8,7.6,7.4,97,2.4,143,1008.5,1012.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,08:00,10.3,9.4,8.4,88,3.0,204,1009.2,1013.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,11:00,12.7,9.8,6.7,67,3.2,305,1009.6,1013.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,14:00,15.3,11.4,7.6,60,4.1,276,1009.0,1012.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,17:00,14.0,11.4,8.8,71,1.7,4,1009.9,1013.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,20:00,12.5,11.1,9.7,83,1.4,120,1011.6,1015.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-03-2020,23:00,8.9,8.4,8.0,94,1.6,121,1012.3,1016.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,02:00,7.8,7.6,7.4,97,1.9,129,1012.7,1016.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,05:00,7.8,7.6,7.4,97,1.7,172,1013.2,1017.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,08:00,12.9,11.2,9.5,80,2.1,197,1014.6,1018.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,11:00,17.1,12.9,9.0,59,2.3,262,1014.9,1018.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,14:00,18.1,13.5,9.4,57,4.0,318,1013.7,1017.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,17:00,16.9,12.2,7.5,54,3.2,342,1013.0,1016.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,20:00,12.9,10.8,8.8,76,1.7,70,1013.0,1016.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-03-2020,23:00,9.5,8.8,8.1,91,1.2,80,1012.9,1016.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,02:00,7.8,7.4,7.0,95,1.3,106,1011.7,1015.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,05:00,7.0,6.7,6.4,96,1.8,110,1011.1,1014.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,08:00,13.4,11.0,8.6,73,1.2,90,1011.2,1014.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,11:00,22.5,13.3,3.4,29,1.1,124,1008.5,1012.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,14:00,25.3,15.0,4.8,27,1.4,88,1005.6,1009.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,17:00,25.8,16.7,9.0,35,1.4,126,1004.1,1007.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,20:00,18.3,14.8,12.0,67,1.0,168,1004.0,1007.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-03-2020,23:00,19.1,12.8,6.5,44,2.1,177,1003.6,1007.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,02:00,16.9,12.7,8.8,59,3.0,207,1004.0,1007.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,05:00,14.4,12.0,9.8,74,2.5,194,1003.9,1007.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,08:00,18.6,14.3,10.7,60,4.1,209,1005.0,1008.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,11:00,20.2,16.4,13.6,66,5.7,250,1006.0,1009.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,14:00,19.8,17.1,15.2,75,5.7,257,1006.2,1009.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,17:00,18.4,16.1,14.5,78,2.7,314,1006.2,1009.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,20:00,16.9,15.5,14.4,85,1.2,297,1007.3,1011.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-03-2020,23:00,15.1,14.5,14.0,93,1.8,299,1007.7,1011.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,02:00,14.3,13.7,13.2,93,0.9,83,1007.7,1011.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,05:00,12.6,12.4,12.1,97,0.8,178,1008.0,1011.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,08:00,16.4,14.9,13.7,84,1.0,175,1009.2,1012.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,11:00,18.6,14.7,11.4,63,2.5,294,1009.5,1013.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,14:00,19.3,15.1,11.6,61,3.8,312,1009.5,1013.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,17:00,18.1,14.1,10.7,62,2.7,340,1009.0,1012.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,20:00,15.2,13.4,11.8,80,1.2,11,1010.3,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,25-03-2020,23:00,12.2,11.4,10.6,90,1.0,110,1010.1,1013.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,02:00,10.4,10.0,9.6,95,1.4,87,1008.8,1012.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,05:00,10.0,9.7,9.4,96,1.6,53,1007.8,1011.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,08:00,14.6,13.0,11.6,82,0.5,121,1007.8,1011.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,11:00,20.9,15.0,10.0,50,2.0,51,1005.7,1009.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,14:00,24.4,16.7,10.6,42,3.3,318,1002.7,1006.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,17:00,20.3,17.3,15.3,73,3.9,327,1002.4,1006.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,20:00,18.6,16.2,14.5,77,1.1,89,1004.2,1007.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,26-03-2020,23:00,18.0,16.1,14.9,82,1.3,16,1004.4,1008.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,02:00,16.7,15.2,14.0,84,2.4,100,1002.8,1006.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,05:00,16.8,15.0,13.5,81,1.4,38,1001.2,1004.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,08:00,19.7,16.4,14.1,70,1.2,107,1001.8,1005.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,11:00,27.2,16.8,7.9,30,2.0,105,1001.7,1005.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,14:00,23.7,17.5,12.9,51,4.8,348,1002.0,1005.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,17:00,20.7,16.9,14.1,66,4.0,338,1002.9,1006.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,20:00,18.2,15.9,14.1,77,1.4,343,1005.0,1008.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,27-03-2020,23:00,17.5,16.8,16.4,93,1.7,297,1006.7,1010.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,02:00,17.2,16.5,16.1,93,2.4,304,1008.0,1011.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,05:00,16.6,15.8,15.1,91,2.3,294,1008.9,1012.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,08:00,18.0,15.9,14.3,79,4.2,295,1010.7,1014.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,11:00,20.2,16.2,13.1,64,4.2,266,1010.9,1014.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,14:00,20.1,16.6,14.0,68,5.1,263,1011.2,1014.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,17:00,18.2,14.8,12.0,67,4.3,287,1010.9,1014.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,20:00,16.3,13.4,10.8,70,3.9,290,1012.0,1015.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,28-03-2020,23:00,14.1,12.2,10.5,79,1.9,250,1012.6,1016.3,-,-,-,-,-,-,-,-,-
